Filename,esp_1
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_1
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
,Sample
proceduresegments,Flow ramp#Temperature ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus
Pa,1/s,Pa.s,s,°C,Pa,Pa
6.96286e-3,6.48718e-3,0.0931536,1.17604,24.92,55.8507,
7.12167e-4,7.05551e-3,0.116208,3.53898,24.91,55.2181,0.0302702
9.84237e-4,7.64290e-3,0.121392,5.83274,24.90,55.2139,0.0246833
1.07757e-3,8.48573e-3,0.127671,8.06096,24.92,54.5863,0.0200378
1.29825e-3,9.32791e-3,0.127919,10.3547,24.91,54.7595,0.0172426
1.47345e-3,0.0102197,0.135979,12.6485,24.92,54.5058,0.0154610
1.80405e-3,0.0111973,0.144546,14.8767,24.92,53.6150,0.0144446
2.09609e-3,0.0122802,0.152318,17.1705,24.92,53.7580,0.0136106
2.38044e-3,0.0134485,0.156360,19.4642,24.94,52.8539,0.0128624
2.61313e-3,0.0147256,0.156360,21.6924,24.94,52.3178,0.0119222
2.71701e-3,0.0161838,0.154551,23.9862,24.94,52.0337,0.0110465
2.82287e-3,0.0176940,0.152318,26.2800,24.95,51.0573,0.0103055
3.14754e-3,0.0193282,0.149248,28.5082,24.95,50.8932,9.70240e-3
3.44433e-3,0.0212000,0.148382,30.8020,24.97,50.3541,9.23564e-3
3.83430e-3,0.0232440,0.147950,33.0957,24.96,50.2991,8.90620e-3
4.12652e-3,0.0254324,0.148382,35.3239,24.97,50.3259,8.62618e-3
4.44779e-3,0.0278617,0.148382,37.6177,24.96,49.4616,8.38049e-3
4.95406e-3,0.0305244,0.148382,39.9115,24.98,49.5232,8.14410e-3
5.40577e-3,0.0333759,0.147950,42.1397,24.97,49.0234,7.97379e-3
5.93179e-3,0.0365652,0.147950,44.4334,24.97,47.9887,7.84055e-3
6.54128e-3,0.0401069,0.148382,46.7272,24.97,47.5734,7.69334e-3
7.11186e-3,0.0438451,0.148382,48.9554,24.98,47.3904,7.57421e-3
7.76701e-3,0.0480369,0.148382,51.2492,24.98,45.6391,7.45675e-3
8.53483e-3,0.0526692,0.147950,53.5429,24.97,45.9849,7.32993e-3
9.28281e-3,0.0575687,0.146665,55.7712,24.98,45.3414,7.21387e-3
0.0100967,0.0630096,0.145814,58.0649,24.98,45.2744,7.08215e-3
0.0109701,0.0691009,0.144546,60.3587,24.97,44.8703,6.93376e-3
0.0117756,0.0757255,0.143290,62.6524,24.98,44.7314,6.77825e-3
0.0127281,0.0829972,0.139587,64.9462,24.98,43.7143,6.59402e-3
0.0136676,0.0907493,0.135979,67.1744,24.99,43.1815,6.38152e-3
0.0144473,0.0995023,0.131313,69.4682,24.98,43.6393,6.12142e-3
0.0151737,0.109095,0.126807,71.7620,24.99,42.1926,5.84350e-3
0.0155818,0.119218,0.120337,73.9902,24.98,42.4188,5.54303e-3
0.0164056,0.130718,0.114529,76.2839,24.99,41.5217,5.22401e-3
0.0168766,0.143294,0.108370,78.5777,24.99,42.2002,4.92509e-3
0.0173901,0.156616,0.108686,80.8059,24.98,40.7052,4.65770e-3
0.0182495,0.171639,0.103140,83.0997,24.99,40.0294,4.38078e-3
0.0188271,0.188199,0.0967446,85.3934,24.98,39.9689,4.12797e-3
0.0194077,0.205689,0.0920757,87.6217,24.99,39.7935,3.90388e-3
0.0201512,0.225460,0.0876321,89.9154,25.00,39.6750,3.66736e-3
0.0209084,0.247164,0.0824380,92.2092,24.99,39.0409,3.41779e-3
0.0213713,0.270163,0.0768777,94.4374,24.98,38.1911,3.18948e-3
0.0211876,0.296155,0.0723209,96.7312,24.99,38.0282,2.97701e-3
0.0217225,0.324534,0.0676395,99.0249,24.99,37.5043,2.77729e-3
0.0228081,0.354802,0.0630774,101.253,25.00,37.7448,2.59324e-3
0.0235418,0.388881,0.0593386,103.547,24.99,37.4995,2.42963e-3
0.0239689,0.426232,0.0559841,105.841,24.99,36.3683,2.28457e-3
0.0243430,0.465905,0.0526658,108.069,24.99,35.8599,2.14918e-3
0.0253982,0.510786,0.0495442,110.363,25.00,35.8012,2.00865e-3
0.0264775,0.559724,0.0462025,112.656,24.99,35.0283,1.88077e-3
0.0266872,0.612030,0.0434639,114.885,24.98,35.2501,1.74144e-3
0.0273685,0.670737,0.0401801,117.178,25.00,34.8252,1.59128e-3
0.0260688,0.735052,0.0369289,119.472,24.99,33.8811,1.44714e-3
0.0256933,0.803443,0.0334830,121.700,24.99,32.5259,1.32435e-3
0.0261504,0.880845,0.0307438,123.994,25.00,32.7917,1.19964e-3
0.0268098,0.965268,0.0279292,126.288,25.00,33.4598,1.09903e-3
0.0265369,1.05518,0.0256692,128.516,24.99,33.5311,1.00928e-3
0.0266540,1.15672,0.0237298,130.810,24.99,32.9784,9.21604e-4
0.0262793,1.26765,0.0216201,133.104,24.99,31.1959,8.30603e-4
0.0263565,1.38552,0.0195837,135.332,25.00,31.5808,7.65280e-4
0.0252716,1.51898,0.0180515,137.626,24.99,32.7185,7.13100e-4
0.0275269,1.66455,0.0167851,139.919,24.99,32.3208,6.58352e-4
0.0297081,1.81957,0.0155621,142.148,25.00,32.1381,6.12633e-4
0.0278668,1.99462,0.0144844,144.441,24.99,31.4486,5.82685e-4
0.0288405,2.18596,0.0137720,146.735,25.00,32.8419,5.48499e-4
0.0311289,2.38944,0.0130693,148.963,25.00,32.4700,5.03316e-4
0.0321636,2.61888,0.0119768,151.257,24.99,32.7375,4.72315e-4
0.0302950,2.87063,0.0112669,153.551,25.00,32.2906,3.94642e-4
0.0320572,3.13814,9.40722e-3,155.779,24.99,31.1351,3.02903e-4
0.0187089,3.44008,7.26103e-3,158.073,24.99,31.6219,2.33233e-4
0.0127129,3.76936,5.60448e-3,160.367,25.00,31.2294,2.04617e-4
0.0140158,4.12024,4.91668e-3,162.595,25.00,31.0021,1.69525e-4
0.0249380,4.51528,4.11710e-3,164.889,24.99,32.5136,1.53055e-4
0.0195466,4.95072,3.69689e-3,167.182,24.99,32.4313,1.50268e-4
0.0176870,5.41040,3.64350e-3,169.411,25.00,32.8652,1.47549e-4
0.0183456,5.93057,3.58044e-3,171.704,24.99,33.5866,1.30178e-4
0.0199163,6.49972,3.16858e-3,173.998,24.99,34.0196,1.22321e-4
0.0211696,7.10489,2.98945e-3,176.226,24.99,36.5953,1.17282e-4
0.0225710,7.78968,2.86179e-3,178.520,25.00,39.8181,1.11628e-4
0.0225317,8.53304,2.72368e-3,180.814,24.99,36.0712,1.04123e-4
0.0226463,9.35512,2.68434e-3,183.108,24.99,38.0744,9.63961e-5
0.0221833,10.2526,2.55480e-3,185.401,24.99,36.8270,8.92178e-5
0.0228086,11.2073,2.36177e-3,187.630,24.99,37.5015,8.39795e-5
0.0242256,12.2847,2.18333e-3,189.923,25.00,35.4296,8.03209e-5
0.0260688,13.4630,2.05991e-3,192.217,24.99,34.1777,7.85532e-5
0.0286182,14.7171,1.97194e-3,194.445,24.99,34.0585,7.74989e-5
0.0312502,16.1309,1.93781e-3,196.739,25.00,34.5411,7.75425e-5
0.0335988,17.6791,1.90428e-3,199.033,24.99,34.9182,7.82113e-5
0.0382433,19.3255,1.90428e-3,201.261,24.99,34.7923,7.84794e-5
0.0427985,21.1824,1.92097e-3,203.555,24.99,34.2847,7.81603e-5
0.0459831,23.2155,1.92097e-3,205.849,25.00,32.9236,7.77486e-5
0.0481490,25.3776,1.92097e-3,208.077,25.00,31.7857,7.67623e-5
0.0515493,27.8152,1.90428e-3,210.371,25.00,30.3933,7.55428e-5
0.0564585,30.4851,1.88772e-3,212.664,25.00,31.1813,7.49668e-5
0.0622469,33.3239,1.85506e-3,214.893,24.99,31.8997,7.45453e-5
0.0696297,36.5262,1.84429e-3,217.186,25.00,31.2797,7.42653e-5
0.0738621,40.0313,1.83893e-3,219.480,24.99,30.7504,7.41071e-5
0.0795851,43.7596,1.82295e-3,221.708,25.00,30.3804,7.39110e-5
0.0879347,47.9632,1.82295e-3,224.002,24.99,30.3339,7.30498e-5
0.0968136,52.5667,1.82295e-3,226.296,25.00,29.5836,7.28000e-5
0.103362,57.4631,1.79140e-3,228.524,24.99,28.3455,7.26415e-5
0.114259,62.9826,1.79140e-3,230.818,24.99,29.2916,7.22447e-5
0.124129,69.0277,1.79140e-3,233.112,24.99,28.7991,7.17914e-5
0.134653,75.4570,1.77583e-3,235.340,24.99,28.3917,7.16048e-5
0.147635,82.7059,1.76040e-3,237.634,24.99,27.8093,7.12049e-5
0.160866,90.6427,1.76553e-3,239.927,24.99,27.5887,7.09197e-5
0.174851,99.0867,1.74510e-3,242.156,24.99,26.0887,7.06801e-5
0.191462,108.604,1.75019e-3,244.449,25.00,27.1326,7.03483e-5
0.208752,119.027,1.75019e-3,246.743,25.00,26.7012,7.00757e-5
0.226925,130.115,1.74510e-3,248.971,24.99,26.0249,6.98455e-5
0.248290,142.613,1.73498e-3,251.265,24.99,25.5258,6.95860e-5
0.271198,156.301,1.72994e-3,253.559,24.98,25.5427,6.93692e-5
0.295734,170.859,1.71990e-3,255.787,25.00,24.7799,6.91817e-5
0.323408,187.272,1.71990e-3,258.081,24.99,26.0110,6.89647e-5
0.353038,205.244,1.70000e-3,260.375,25.00,25.5698,6.87901e-5
0.384602,224.364,1.70495e-3,262.603,25.00,24.1053,6.86254e-5
0.421387,245.914,1.70000e-3,264.897,24.99,23.4569,6.84585e-5
0.460806,269.516,1.70495e-3,267.190,25.00,22.6318,6.83475e-5
0.502714,294.622,1.68522e-3,269.419,25.00,22.6317,6.82900e-5
0.551014,322.920,1.69013e-3,271.712,24.99,22.2587,6.82330e-5
0.604054,353.914,1.69013e-3,274.006,24.99,21.8342,6.82044e-5
0.660216,386.879,1.69013e-3,276.234,24.99,18.8643,6.82104e-5
0.723498,424.044,1.68522e-3,278.528,24.99,16.3242,6.82303e-5
0.793345,464.738,1.68522e-3,280.822,24.99,16.2109,6.82621e-5
0.868135,508.029,1.67545e-3,283.050,24.99,14.9187,6.83206e-5
0.952582,556.829,1.67058e-3,285.344,25.00,11.6754,6.84030e-5
1.04602,610.269,1.69013e-3,287.638,24.99,5.89970,6.84996e-5
1.14503,667.114,1.68522e-3,289.866,24.99,0.119521,6.86079e-5
1.25695,731.196,1.69013e-3,292.160,24.99,-4.36712,6.87473e-5
1.38053,801.371,1.69013e-3,294.453,24.99,-9.68008,6.89333e-5
1.51377,876.017,1.69013e-3,296.681,24.99,-20.4685,6.91307e-5
1.65874,955.074,1.68522e-3,298.844,24.99,-35.4052,6.93914e-5

